keyword	keywordThesaurus
populations	LTER Core Research Areas
organic matter	LTER Core Research Areas
zooplankton	LTER Controlled Vocabulary
transects	LTER Controlled Vocabulary
marine	LTER Controlled Vocabulary
oceanography	LTER Controlled Vocabulary
Bongo net	SeaVoX Device Catalogue
ring net	SeaVoX Device Catalogue
Single net or net pair oblique tow	BODC Sampling net gear deployment vocabulary
Single net or net pair vertical tow	BODC Sampling net gear deployment vocabulary
Northeast U.S. Continental Shelf	NOAA Large Marine Ecosystems
