"cruise","station","cast","cast_type","net_type","mesh","purpose","stableisotope_sizerange","PI_recipient","fixative","net_fraction","no_of_jars","comments_logsheets","comments_reMissingSample"
"EN608","L1",1,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"DNA","NA","Rynearson","EtOH",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","L1",1,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",150,"morphID","NA","Llopiz","EtOH",0.25,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
"EN608","L3",5,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L4",8,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"No picking sample--needed it for 200-500 size fraction that I dumped accidentally","NA"
"EN608","L5",9,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L6",12,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L11",19,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Did not include a tunicate and Phronima amphipod in >1000um fraction.","NA"
"EN608","L10",21,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"Did not include a salp in the >1000um fraction","NA"
"EN608","L9",22,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L7",23,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"150 net almost clogged with orangy goo. See if IFCB can see it. 200-500 fraction like fudge--very cohesive.","NA"
"EN608","MVCO",30,"oblique","Bongo",150,"stableisotope",">1000","Llopiz","Frz",0.25,1,"NA","NA"
"EN608","L1",1,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Pay-out speed of 10m/min (instead of 20 like NOAA does). We changed the pay-out speed for the rest of the stations too. They were reduced, and maxed out at 30 m/min whereas NOAA goes up to 50--the ship wanted to keep it to 30. Also, because of the chaos with everything and having to deploy the rake, the nets weren't rinsed about an hour after retrieval. SIze fraction samples in tin foil (except 20-100), but in vials for the rest of the cruise.","NA"
"EN608","L2",4,"oblique","Bongo",150,"stableisotope",">500&<1000","Llopiz","Frz",0.25,1,"Spilled about 5% of 150um sample. Down at 30 m/min, up at 18 initially then 14 soon after.","NA"
